#   S  Balloon(1987/05+1988/05+1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.430400e+02 1.273600e+02 1.603200e+02 1.246875e-04 2.965625e-04 2.965625e-04 0.000000e+00 0.000000e+00 2.965625e-04 2.965625e-04
1.798400e+02 1.603200e+02 2.019200e+02 7.281250e-05 1.709375e-05 1.709375e-05 0.000000e+00 0.000000e+00 1.709375e-05 1.709375e-05
2.265600e+02 2.019200e+02 2.540800e+02 5.812500e-05 1.196875e-05 1.196875e-05 0.000000e+00 0.000000e+00 1.196875e-05 1.196875e-05
2.851200e+02 2.540800e+02 3.200000e+02 3.084375e-05 6.843750e-06 6.843750e-06 0.000000e+00 0.000000e+00 6.843750e-06 6.843750e-06
3.584000e+02 3.200000e+02 4.032000e+02 2.693750e-05 5.187500e-06 5.187500e-06 0.000000e+00 0.000000e+00 5.187500e-06 5.187500e-06
4.544000e+02 4.032000e+02 5.088000e+02 1.259375e-05 2.984375e-06 2.984375e-06 0.000000e+00 0.000000e+00 2.984375e-06 2.984375e-06
5.696000e+02 5.088000e+02 6.400000e+02 9.218750e-06 2.118750e-06 2.118750e-06 0.000000e+00 0.000000e+00 2.118750e-06 2.118750e-06
7.168000e+02 6.400000e+02 8.032000e+02 5.625000e-06 1.393750e-06 1.393750e-06 0.000000e+00 0.000000e+00 1.393750e-06 1.393750e-06
9.024000e+02 8.032000e+02 1.011200e+03 2.828125e-06 5.656250e-07 5.656250e-07 0.000000e+00 0.000000e+00 5.656250e-07 5.656250e-07
1.136000e+03 1.011200e+03 1.273600e+03 1.609375e-06 3.087500e-07 3.087500e-07 0.000000e+00 0.000000e+00 3.087500e-07 3.087500e-07
1.430400e+03 1.273600e+03 1.603200e+03 8.312500e-07 1.968750e-07 1.968750e-07 0.000000e+00 0.000000e+00 1.968750e-07 1.968750e-07
1.798400e+03 1.603200e+03 2.019200e+03 5.750000e-07 1.437500e-07 1.437500e-07 0.000000e+00 0.000000e+00 1.437500e-07 1.437500e-07
2.265600e+03 2.019200e+03 2.540800e+03 3.343750e-07 9.625000e-08 9.625000e-08 0.000000e+00 0.000000e+00 9.625000e-08 9.625000e-08
2.851200e+03 2.540800e+03 3.200000e+03 1.762500e-07 6.250000e-08 6.250000e-08 0.000000e+00 0.000000e+00 6.250000e-08 6.250000e-08
4.032000e+03 3.200000e+03 5.088000e+03 6.937500e-08 2.309375e-08 2.309375e-08 0.000000e+00 0.000000e+00 2.309375e-08 2.309375e-08
5.696000e+03 5.088000e+03 6.400000e+03 2.178125e-08 1.537500e-08 1.537500e-08 0.000000e+00 0.000000e+00 1.537500e-08 1.537500e-08
8.032000e+03 6.400000e+03 1.011200e+04 1.096875e-08 6.343750e-09 6.343750e-09 0.000000e+00 0.000000e+00 6.343750e-09 6.343750e-09
1.430400e+04 1.011200e+04 2.019200e+04 2.862500e-09 2.025000e-09 2.025000e-09 0.000000e+00 0.000000e+00 2.025000e-09 2.025000e-09
