#   Si  Balloon(1987/05+1988/05+1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.251600e+02 1.114400e+02 1.402800e+02 7.642857e-04 1.185714e-04 1.185714e-04 0.000000e+00 0.000000e+00 1.185714e-04 1.185714e-04
1.573600e+02 1.402800e+02 1.766800e+02 5.464286e-04 7.607143e-05 7.607143e-05 0.000000e+00 0.000000e+00 7.607143e-05 7.607143e-05
1.982400e+02 1.766800e+02 2.223200e+02 3.321429e-04 4.571428e-05 4.571428e-05 0.000000e+00 0.000000e+00 4.571428e-05 4.571428e-05
2.494800e+02 2.223200e+02 2.800000e+02 2.846428e-04 3.314286e-05 3.314286e-05 0.000000e+00 0.000000e+00 3.314286e-05 3.314286e-05
3.136000e+02 2.800000e+02 3.528000e+02 1.521429e-04 2.032143e-05 2.032143e-05 0.000000e+00 0.000000e+00 2.032143e-05 2.032143e-05
3.976000e+02 3.528000e+02 4.452000e+02 9.678571e-05 1.278571e-05 1.278571e-05 0.000000e+00 0.000000e+00 1.278571e-05 1.278571e-05
4.984000e+02 4.452000e+02 5.600000e+02 5.642857e-05 7.964286e-06 7.964286e-06 0.000000e+00 0.000000e+00 7.964286e-06 7.964286e-06
6.272000e+02 5.600000e+02 7.028000e+02 3.021429e-05 4.964286e-06 4.964286e-06 0.000000e+00 0.000000e+00 4.964286e-06 4.964286e-06
7.896000e+02 7.028000e+02 8.848000e+02 1.814286e-05 3.310714e-06 3.310714e-06 0.000000e+00 0.000000e+00 3.310714e-06 3.310714e-06
9.940000e+02 8.848000e+02 1.114400e+03 8.392857e-06 1.050000e-06 1.050000e-06 0.000000e+00 0.000000e+00 1.050000e-06 1.050000e-06
1.251600e+03 1.114400e+03 1.402800e+03 3.821429e-06 5.892857e-07 5.892857e-07 0.000000e+00 0.000000e+00 5.892857e-07 5.892857e-07
1.573600e+03 1.402800e+03 1.766800e+03 2.592857e-06 4.071429e-07 4.071429e-07 0.000000e+00 0.000000e+00 4.071429e-07 4.071429e-07
1.982400e+03 1.766800e+03 2.223200e+03 1.407143e-06 2.289286e-07 2.289286e-07 0.000000e+00 0.000000e+00 2.289286e-07 2.289286e-07
2.494800e+03 2.223200e+03 2.800000e+03 6.571429e-07 1.335714e-07 1.335714e-07 0.000000e+00 0.000000e+00 1.335714e-07 1.335714e-07
3.136000e+03 2.800000e+03 3.528000e+03 3.210714e-07 8.035715e-08 8.035715e-08 0.000000e+00 0.000000e+00 8.035715e-08 8.035715e-08
3.976000e+03 3.528000e+03 4.452000e+03 2.096429e-07 5.857143e-08 5.857143e-08 0.000000e+00 0.000000e+00 5.857143e-08 5.857143e-08
4.984000e+03 4.452000e+03 5.600000e+03 8.750000e-08 3.278571e-08 3.278571e-08 0.000000e+00 0.000000e+00 3.278571e-08 3.278571e-08
7.028000e+03 5.600000e+03 8.848000e+03 2.103572e-08 9.250000e-09 9.250000e-09 0.000000e+00 0.000000e+00 9.250000e-09 9.250000e-09
1.114400e+04 8.848000e+03 1.402800e+04 7.928571e-09 4.535715e-09 4.535715e-09 0.000000e+00 0.000000e+00 4.535715e-09 4.535715e-09
1.982400e+04 1.402800e+04 2.800000e+04 9.642857e-10 9.642857e-10 9.642857e-10 0.000000e+00 0.000000e+00 9.642857e-10 9.642857e-10
