#   Si  CRISIS(1977/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.533624e+01 1.400000e+01 1.680000e+01 3.114285e-02 1.392857e-03 1.392857e-03 0.000000e+00 0.000000e+00 1.392857e-03 1.392857e-03
1.814607e+01 1.680000e+01 1.960000e+01 3.071430e-02 1.535715e-03 1.535715e-03 0.000000e+00 0.000000e+00 1.535715e-03 1.535715e-03
2.095327e+01 1.960000e+01 2.240000e+01 2.824999e-02 1.607142e-03 1.607142e-03 0.000000e+00 0.000000e+00 1.607142e-03 1.607142e-03
2.375878e+01 2.240000e+01 2.520000e+01 2.264287e-02 1.428572e-03 1.428572e-03 0.000000e+00 0.000000e+00 1.428572e-03 1.428572e-03
2.656312e+01 2.520000e+01 2.800000e+01 2.114285e-02 1.392857e-03 1.392857e-03 0.000000e+00 0.000000e+00 1.392857e-03 1.392857e-03
3.067260e+01 2.800000e+01 3.360000e+01 1.453571e-02 8.214284e-04 8.214284e-04 0.000000e+00 0.000000e+00 8.214284e-04 8.214284e-04
3.756592e+01 3.360000e+01 4.200000e+01 1.208333e-02 6.190477e-04 6.190477e-04 0.000000e+00 0.000000e+00 6.190477e-04 6.190477e-04
4.849740e+01 4.200000e+01 5.600000e+01 7.357143e-03 3.785714e-04 3.785714e-04 0.000000e+00 0.000000e+00 3.785714e-04 3.785714e-04
6.858572e+01 5.600000e+01 8.400000e+01 3.110714e-03 1.714286e-04 1.714286e-04 0.000000e+00 0.000000e+00 1.714286e-04 1.714286e-04
1.533624e+02 8.400000e+01 2.800000e+02 6.913265e-04 3.163265e-05 3.163265e-05 0.000000e+00 0.000000e+00 3.163265e-05 3.163265e-05
