#   Si  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.240000e+01 2.240000e+01 2.240000e+01 1.201725e-02 2.975579e-04 2.975579e-04 0.000000e+00 0.000000e+00 2.975579e-04 2.975579e-04
2.800000e+01 2.800000e+01 2.800000e+01 9.475714e-03 2.384518e-04 2.384518e-04 0.000000e+00 0.000000e+00 2.384518e-04 2.384518e-04
3.500000e+01 3.500000e+01 3.500000e+01 8.347214e-03 1.857804e-04 1.857804e-04 0.000000e+00 0.000000e+00 1.857804e-04 1.857804e-04
4.480000e+01 4.480000e+01 4.480000e+01 6.023893e-03 1.194368e-04 1.194368e-04 0.000000e+00 0.000000e+00 1.194368e-04 1.194368e-04
5.880000e+01 5.880000e+01 5.880000e+01 4.079643e-03 8.253571e-05 8.253571e-05 0.000000e+00 0.000000e+00 8.253571e-05 8.253571e-05
7.420000e+01 7.420000e+01 7.420000e+01 2.763429e-03 4.499250e-05 4.499250e-05 0.000000e+00 0.000000e+00 4.499250e-05 4.499250e-05
9.380000e+01 9.380000e+01 9.380000e+01 1.896339e-03 2.965043e-05 2.965043e-05 0.000000e+00 0.000000e+00 2.965043e-05 2.965043e-05
1.204000e+02 1.204000e+02 1.204000e+02 1.259500e-03 2.128429e-05 2.128429e-05 0.000000e+00 0.000000e+00 2.128429e-05 2.128429e-05
1.568000e+02 1.568000e+02 1.568000e+02 7.679572e-04 1.361596e-05 1.361596e-05 0.000000e+00 0.000000e+00 1.361596e-05 1.361596e-05
2.100000e+02 2.100000e+02 2.100000e+02 4.202714e-04 1.216029e-05 1.216029e-05 0.000000e+00 0.000000e+00 1.216029e-05 1.216029e-05
2.968000e+02 2.968000e+02 2.968000e+02 1.919950e-04 3.974214e-06 3.974214e-06 0.000000e+00 0.000000e+00 3.974214e-06 3.974214e-06
4.536000e+02 4.536000e+02 4.536000e+02 6.636357e-05 2.627447e-06 2.627447e-06 0.000000e+00 0.000000e+00 2.627447e-06 2.627447e-06
9.800000e+02 9.800000e+02 9.800000e+02 8.157500e-06 1.259936e-06 1.259936e-06 0.000000e+00 0.000000e+00 1.259936e-06 1.259936e-06
