% Model:              magnetic_habitat_v2.mph
% Version:            COMSOL 5.3.0.316
% Date:               Nov 20 2018, 13:30
% Dimension:          2
% Nodes:              30452
% Expressions:        1
% Description:        Surface
% R                       Z                        Color
11                        -1.5                     -7.4465190162553085
10.983394330848498        -1.4999084966367815      -7.4466643270102395
10.966716733613033        -1.4996302769810563      -7.445626548345558
10.949967208293605        -1.4991653410328243      -7.443858937652351
11                        -1.5173141913781423      -7.360364472442904
10.982674018324659        -1.5172396979973586      -7.360355562395117
10.965300084593341        -1.517040727088237       -7.358786354829732
10.94787819880605         -1.5167172786507774      -7.356096089286382
11                        -1.5346283827562845      -7.274209928630853
10.98195370580082         -1.5345708993579357      -7.27405200248073
10.963883435573651        -1.5344511771954175      -7.271960736740709
10.945789189318493        -1.5342692162687301      -7.268364413148049
11                        -1.5519425741344264      -7.187880715636851
10.981233393276977        -1.5519021007185123      -7.187584170681394
10.962466786553955        -1.551861627302598       -7.1850993750688374
10.943700179830934        -1.5518211538866833      -7.180615436140684
11                        -1.5710551174947773      -7.0987331954707455
10.98060166157059         -1.5708615298597721      -7.099253948261245
10.961203323141183        -1.570667942224767       -7.09761123237115
10.941804984711773        -1.5704743545897615      -7.093752534417781
11                        -1.590167660855128       -7.0097603444868355
10.979969929864204        -1.5898209590010322      -7.011091540564848
10.959939859728404        -1.5894742571469358      -7.010175406607544
10.939909789592607        -1.5891275552928399      -7.006948194248935
11                        -1.6092802042154786      -6.920695574283087
10.979338198157816        -1.608780388142292       -6.92279967635006
10.958676396315628        -1.6082805720691051      -6.922614889146388
10.938014594473444        -1.6077807559959185      -6.920050500780945
11                        -1.630377881606931       -6.8293776069637175
10.978596710654422        -1.6296269677012825      -6.8325815941816295
10.957193421308844        -1.6288760537956337      -6.833428064147153
10.935790131963264        -1.6281251398899852      -6.831829059729289
11                        -1.6514755589983836      -6.738151558864388
10.977855223151028        -1.650473547260273       -6.7424933209501035
10.955710446302056        -1.6494715355221623      -6.744379082820089
10.933565669453081        -1.6484695237840519      -6.7437377389748345
11                        -1.6725732363898358      -6.6469128925430425
10.977113735647634        -1.6713201268192632      -6.652323655364778
10.954227471295269        -1.6700670172486909      -6.655224423603805
10.931341206942902        -1.6688139076781183      -6.65558164857492
11                        -1.6951724329008366      -6.556438035909453
10.97643502475689         -1.6937820574071323      -6.562346513746762
10.952870049513777        -1.6923916819134281      -6.565696765800066
10.929305074270665        -1.691001306419724       -6.566466790517924
11                        -1.7177716294118377      -6.4659757974977765
10.975756313866146        -1.7162439879950013      -6.472453957468126
10.951512627732287        -1.7147163465781654      -6.476292590659185
10.927268941598431        -1.7131887051613295      -6.47746346492025
11                        -1.7403708259228383      -6.375604967792356
10.975077602975398        -1.7387059185828708      -6.382576860640448
10.950155205950796        -1.737041011242903       -6.386864708665655
10.925232808926195        -1.7353761039029352      -6.388469029224659
11                        -1.7634245505816806      -6.290302459336333
10.974585816211558        -1.7618176903191043      -6.2970019054654855
10.949171632423113        -1.7602108300565282      -6.301023086580013
10.92375744863467         -1.7586039697939524      -6.302394879416102
11                        -1.786478275240523       -6.2049085421741665
10.974094029447716        -1.7849294620553389      -6.211413955793681
10.948188058895429        -1.7833806488701538      -6.215215575416082
10.922282088343145        -1.7818318356849692      -6.21633963839759
11                        -1.8095319998993658      -6.119629597711082
10.973602242683873        -1.8080412337915726      -6.12588515421416
10.947204485367745        -1.8065504676837794      -6.129439968640405
10.920806728051618        -1.805059701575986       -6.130331820798646
10.895162115210502        -1.4963318542064334      -7.430558388877902
10.89256380188243         -1.5137589255047106      -7.3433550087898585
10.889965488554356        -1.5311859968029875      -7.256180742841074
10.88736717522628         -1.5486130681012646      -7.168869124644024
10.913504584366462        -1.4975035784745119      -7.435937388337443
10.911051337386922        -1.5148965289929204      -7.34893446023651
10.908598090407377        -1.5322894795113289      -7.261956193181646
10.906144843427832        -1.5496824300297376      -7.1748777642350525
10.931772948727497        -1.4984480740833088      -7.440535154409403
10.929489469694795        -1.5158826467082762      -7.3533300823997045
10.92720599066209         -1.5333172193332432      -7.266154308100653
10.924922511629383        -1.5507517919582101      -7.1788841626416655
10.83505362082897         -1.4909033141013424      -7.4042698594832075
10.83351398347413         -1.5096500835511046      -7.312603704105326
10.831974346119289        -1.5283968530008663      -7.220893981601245
10.830434708764447        -1.547143622450628       -7.129514998634004
10.855162914794455        -1.4929903686927617      -7.41430886545308
10.85324600905799         -1.5112047250176768      -7.324367579433428
10.851329103321525        -1.529419081342592       -7.234409741783594
10.849412197585059        -1.5476334376675072      -7.144829152942158
10.875199079588299        -1.494799882061125       -7.423272301683269
10.872929281860756        -1.5125743390022122      -7.3348228134463795
10.870659484133212        -1.530348795943299       -7.246380988189657
10.86838968640567         -1.5481232528843858      -7.157936503406468
11                        -1.8325894520400758      -6.040541558240939
10.973307077158026        -1.8312415550603616      -6.046290894461636
10.946614154316052        -1.8298936580806482      -6.04939182348075
10.919921231474078        -1.8285457611009344      -6.049893886469146
11                        -1.855646904180786       -5.961338546071829
10.973011911632177        -1.8544418763291513      -5.9666377966416775
10.946023823264355        -1.853236848477517       -5.969312804649377
10.919035734896536        -1.852031820625883       -5.969411630695128
11                        -1.878704356321496       -5.882234818968357
10.97271674610633         -1.877642197597941       -5.887045878482116
10.945433492212661        -1.8765800388743863      -5.889284303548038
10.91815023831899         -1.8755178801508317      -5.888991955250779
10.769259908834737        -1.482146757351999       -7.36092982125823
10.768144744024498        -1.5049933691476385      -7.253388628133711
10.767029579214258        -1.527839980943278       -7.14579139797825
10.765914414404016        -1.5506865927389175      -7.038849696080422
10.791257667764798        -1.4854037088039065      -7.376619699836063
10.789978838240142        -1.5067710067502111      -7.274739259092517
10.788700008715482        -1.528138304696516       -7.172811473425206
10.787421179190826        -1.5495056026428213      -7.071256932770378
10.81318890509621         -1.4883225610536877      -7.391341234503685
10.811768584723353        -1.5083232448847002      -7.294804849056447
10.810348264350493        -1.5283239287157122      -7.1982223370100655
10.808927943977636        -1.5483246125467247      -7.101926884476711
11                        -1.9017618084622063      -5.808678172129229
10.972585588469215        -1.9008147845743928      -5.813139907786347
10.945171176938434        -1.8998677606865793      -5.815110654588093
10.917756765407649        -1.898920736798766       -5.814626702641686
11                        -1.9248192606029164      -5.735022240224566
10.972454430832101        -1.9239873715508444      -5.739172144603643
10.944908861664203        -1.9231554824987722      -5.740884247339835
10.917363292496306        -1.9223235934467002      -5.740193871822792
11                        -1.9478767127436267      -5.661451416448244
10.97232327319499         -1.9471599585272958      -5.6652601933343405
10.944646546389976        -1.9464432043109652      -5.666708163430485
10.916969819584965        -1.9457264500946345      -5.665821435633244
11                        -1.9709341648843368      -5.592859355539579
10.972235521235355        -1.9702793032537418      -5.59651374727617
10.944471042470713        -1.969624441623147       -5.597886153234786
