% Model:              magnetic_habitat_v1.mph
% Version:            COMSOL 5.3.0.316
% Date:               Oct 29 2018, 20:10
% Dimension:          2
% Nodes:              27419
% Expressions:        1
% Description:        Surface
% R                       Z                        Color
11                        -1.5                     -7.34855736215917
10.983394330848498        -1.4999084966367815      -7.348687329378215
10.966716733613033        -1.4996302769810563      -7.347606126254405
10.949967208293605        -1.4991653410328243      -7.34575102105029
11                        -1.5173141913781423      -7.263535781870174
10.983032978329973        -1.5174967665950228      -7.262312391677998
10.966018004603972        -1.517554864283565       -7.2596000706645825
10.948955078821992        -1.5174884844437702      -7.255852337660912
11                        -1.5346283827562845      -7.178514201581038
10.982671625811447        -1.5350850365532638      -7.175937695828878
10.965319275594902        -1.535479451586074       -7.17159277894126
10.947942949350375        -1.5358116278547156      -7.165948600670276
11                        -1.5519425741344264      -7.093318146119628
10.98231027329292         -1.5526733065115046      -7.089435792530782
10.96462054658584         -1.553404038888583       -7.083617990107335
10.946930819878759        -1.5541347712656612      -7.0760856464289645
11                        -1.5710551174947773      -7.005342907581539
10.982219194207113        -1.5716454739547936      -7.002339410019767
10.964438388414232        -1.5722358304148107      -6.997554000024003
10.946657582621349        -1.5728261868748274      -6.990944638235817
11                        -1.590167660855128       -6.917542144216327
10.982128115121313        -1.5906176413980828      -6.915369416646129
10.964256230242622        -1.591067621941038       -6.911453819856632
10.946384345363935        -1.5915176024839934      -6.905753136596104
11                        -1.6092802042154786      -6.829651874707963
10.982037036035507        -1.609589808841372       -6.828328364929259
10.964074072071014        -1.6098994134672657      -6.825361550251785
10.946111108106521        -1.6102090180931592      -6.820617978506945
11                        -1.630377881606931       -6.73952400012227
10.981666844232942        -1.629870961324607       -6.7417477351586985
10.96333368846588         -1.629364041042283       -6.74234316107496
10.945000532698817        -1.6288571207599591      -6.741092931234065
11                        -1.6514755589983836      -6.64948563167934
10.981296652430373        -1.650152113807842       -6.6552370364535705
10.962593304860743        -1.6488286686173002      -6.65931614744153
10.943889957291114        -1.6475052234267586      -6.6615113163581094
11                        -1.6725732363898358      -6.559454527785164
10.980926460627803        -1.6704332662910768      -6.568644837225488
10.961852921255607        -1.6682932961923178      -6.5761831093591425
10.94277938188341         -1.6661533260935584      -6.581892511693823
10.895162115210502        -1.4963318542064334      -7.332419241111236
10.893934391653893        -1.5157717706717764      -7.237880145398021
10.892706668097286        -1.535211687137119       -7.1433257369577206
10.891478944540678        -1.5546516036024616      -7.048777327665381
10.913504584366462        -1.4975035784745119      -7.337862652465297
10.912324023906546        -1.5164954943686284      -7.245189427203323
10.911143463446626        -1.535487410262745       -7.152504330371158
10.909962902986706        -1.5544793261568617      -7.059840264896881
10.931772948727497        -1.4984480740833088      -7.342470516294796
10.930664252962577        -1.5170677322926265      -7.251349775457484
10.929555557197654        -1.5356873905019437      -7.160221490857538
10.928446861432732        -1.5543070487112611      -7.069050728244449
10.83505362082897         -1.4909033141013424      -7.306409655050038
10.833674794647264        -1.5121221003856293      -7.204878064565769
10.832295968465555        -1.5333408866699156      -7.10330368893011
10.830917142283846        -1.5545596729542026      -7.001928885851382
10.855162914794455        -1.4929903686927617      -7.316368922070744
10.853810079763901        -1.513523684629715       -7.217475341911486
10.852457244733348        -1.5340570005666687      -7.118553796678505
10.85110440970279         -1.5545903165036221      -7.019782064419974
10.875199079588299        -1.494799882061125       -7.325242372565157
10.873896612099443        -1.5147402413917643      -7.228693579642162
10.87259414461059         -1.5346806007224032      -7.13212572088392
10.871291677121732        -1.5546209600530418      -7.035560122794564
11                        -1.6951724329008366      -6.470182541690647
10.979780395229877        -1.692199336760305       -6.482379887651417
10.959560790459754        -1.689226240619774       -6.492830462995435
10.93934118568963         -1.6862531444792421      -6.501370754307485
11                        -1.7177716294118377      -6.3809032910475025
10.978634329831952        -1.7139654072295336      -6.396215666420673
10.9572686596639          -1.7101591850472297      -6.409643122640205
10.935902989495847        -1.7063529628649259      -6.4210659354467134
11                        -1.7403708259228383      -6.2917578745201865
10.977488264434024        -1.7357314776987622      -6.310022865019363
10.954976528868048        -1.731092129474686       -6.3262865636767245
10.93246479330207         -1.7264527812506099      -6.340594102735096
11                        -1.7634245505816806      -6.207579229841548
10.97662457565573         -1.7588760257430658      -6.225096191124303
10.953249151311464        -1.7543275009044508      -6.240442759007127
10.929873726967195        -1.7497789760658353      -6.25373867208689
11                        -1.786478275240523       -6.1232667510470264
10.975760886877438        -1.7820205737873698      -6.140228612865698
10.951521773754877        -1.7775628723342154      -6.154856876559691
10.927282660632319        -1.7731051708810608      -6.167242379772828
11                        -1.8095319998993658      -6.0391199058576035
10.974897198099148        -1.8051651218316729      -6.055421603039147
10.949794396198296        -1.8007982437639798      -6.069296181180064
10.924691594297443        -1.7964313656962865      -6.080839767677018
10.769259908834737        -1.482146757351999       -7.263943464624557
10.767254150905112        -1.5054690575724958      -7.154580918217662
10.765248392975487        -1.5287913577929928      -7.045152106520366
10.763242635045861        -1.5521136580134895      -6.935866360757834
10.791257667764798        -1.4854037088039065      -7.279318474836018
10.789438713218264        -1.5079121379782912      -7.173087573282803
10.787619758671728        -1.5304205671526758      -7.066804105788016
10.785800804125191        -1.5529289963270607      -6.960615477524023
10.81318890509621         -1.4883225610536877      -7.293704550328371
10.811578927798982        -1.5101298189160022      -7.190110785601153
10.80996895050175         -1.531937076778317       -7.08646908109489
10.808358973204518        -1.5537443346406317      -6.982834731370772
11                        -1.8325894520400758      -5.961092778433797
10.97449542252674         -1.828602898448981       -5.975836598968565
10.948990845053476        -1.8246163448578865      -5.988180275015999
10.923486267580211        -1.8206297912667915      -5.998250747898476
11                        -1.855646904180786       -5.88290001740495
10.97409364695433         -1.8520406750662897      -5.896206942387913
10.948187293908655        -1.8484344459517936      -5.907082593282226
10.92228094086298         -1.8448282168372967      -5.915653025382876
11                        -1.878704356321496       -5.804843400304293
10.973691871381918        -1.8754784516835983      -5.8166506773346
10.947383742763833        -1.8722525470457         -5.826049896645294
10.921075614145748        -1.869026642407802       -5.833147558762384
11                        -2.017049069165757       -5.383810954176312
10.972942184525795        -2.015213212411014       -5.390823240225336
10.945884369051592        -2.0133773556562704      -5.395815914035442
10.918826553577388        -2.011541498901527       -5.398822046954693
11                        -2.0401065213064675      -5.320542485446332
10.972882909530245        -2.038349960278736       -5.327283828683651
10.94576581906049         -2.0365933992510046      -5.33207991359275
10.91864872859073         -2.034836838223273       -5.334950918424337
11                        -2.0631639734471774      -5.257184862155327
10.972823634534691        -2.0614867081464583      -5.26369034388722
10.945647269069381        -2.0598094428457383      -5.268294268742963
10.918470903604074        -2.0581321775450188      -5.271016371737945
11                        -2.0862214255878877      -5.193901955643668
10.97276435953914         -2.0846234560141803      -5.200141231929834
10.945528719078279        -2.0830254864404725      -5.204545288392012
10.918293078617419        -2.0814275168667646      -5.207127550459742
11                        -1.9017618084622063      -5.732274339453005
10.973511218198027        -1.8988255429046985      -5.743026329083959
10.947022436396058        -1.8958892773471905      -5.751451982826897
10.920533654594081        -1.8929530117896827      -5.757639072566478
11                        -1.9248192606029164      -5.659569134673973
10.973330565014141        -1.9221726341257983      -5.66933212670682
10.946661130028279        -1.9195260076486809      -5.676796581714569
10.919991695042416        -1.9168793811715634      -5.682048591220818
11                        -1.9478767127436267      -5.586972439713406
10.973149911830252        -1.9455197253468992      -5.595702220188027
10.946299823660503        -1.9431627379501715      -5.60220143804937
10.919449735490755        -1.940805750553444       -5.60653652487895
11                        -1.9709341648843368      -5.5192945662263035
10.973080669395433        -1.9687508877016038      -5.5274336666959965
10.946161338790866        -1.9665676105188705      -5.533429639941925
10.919242008186298        -1.9643843333361382      -5.537330455180173
11                        -1.993991617025047       -5.451508182920804
10.973011426960618        -1.9919820500563086      -5.4591013907683745
10.94602285392123         -1.9899724830875707      -5.46459811562741
10.919034280881844        -1.9879629161188328      -5.468045214051626
11                        -2.2245661384321487      -4.8489171169506164
10.972025722206556        -2.223149699524762       -4.854531288822161
10.94405144441311         -2.2217332606173748      -4.858554041020668
10.916077166619665        -2.220316821709988       -4.860998822516803
11                        -2.2476235905728594      -4.796549789158354
10.971826484127686        -2.2462999391680305      -4.801927236809696
10.943652968255368        -2.244976287763202       -4.805743277055189
10.915479452383053        -2.243652636358373       -4.80801753950507
11                        -2.2706810427135693      -4.744128461562468
10.971627246048815        -2.2694501788112995      -4.749294136619881
10.943254492097626        -2.268219314909029       -4.752915603754246
10.914881738146438        -2.2669884510067586      -4.7550122682917895
11                        -2.293738494854279       -4.6917521638809205
10.971428007969942        -2.2926004184545676      -4.696685825697898
10.942856015939885        -2.2914623420548557      -4.700099782361988
10.914284023909826        -2.290324265655144       -4.702023432203735
11                        -2.109278877728598       -5.134621424778193
10.972668642857492        -2.107711838064602       -5.140738670137772
10.94533728571498         -2.1061447984006056      -5.1450774727320585
10.918005928572471        -2.10457775873661        -5.147645426120959
11                        -2.132336329869308       -5.075266177133642
10.972572926175843        -2.1308002201150233      -5.081291759531275
10.945145852351683        -2.1292641103607393      -5.085572615426301
10.917718778527526        -2.127728000606455       -5.088116215366883
11                        -2.1553937820100177      -5.01597452259108
10.972477209494192        -2.1538886021654458      -5.021880917924648
10.944954418988385        -2.1523834223208733      -5.026094107947561
10.917431628482577        -2.150878242476301       -5.0286212373830645
11                        -2.178451234150728       -4.960313116177568
10.972326713731647        -2.1769756346185507      -4.9661119539890475
10.944653427463292        -2.175500035086374       -4.970259608643367
10.91698014119494         -2.174024435554197       -4.972763149140678
11                        -2.2015086862914384      -4.904588116662126
10.972176217969102        -2.2000626670716565      -4.910307011481741
10.944352435938201        -2.1986166478518743      -4.9143984476922355
10.916528653907303        -2.197170628632092       -4.916869486704688
11                        -2.3167959469949895      -4.642390867183782
10.971252608239473        -2.3158599247433287      -4.646882940491452
10.942505216478951        -2.314923902491668       -4.649883092052523
10.913757824718424        -2.313987880240007       -4.651430040342479
11                        -2.3398533991356993      -4.592984540572445
10.971077208509008        -2.33911943103209        -4.597055351903499
10.942154417018013        -2.3383854629284797      -4.599654242003879
10.91323162552702         -2.3376514948248697      -4.600819115990922
11                        -2.3629108512764097      -4.543615007338673
10.970901808778539        -2.362378937320851       -4.547251236946725
10.941803617557078        -2.361847023365292       -4.54944119414094
10.912705426335616        -2.3613151094097327      -4.550227928115131
11                        -2.38596830341712        -4.497004563324599
10.970839866296858        -2.3857070046556235      -4.500104769303778
10.941679732593716        -2.385445705894128       -4.501796852809651
10.912519598890574        -2.385184407132631       -4.5021285210024455
11                        -2.4090257555578303      -4.450357325932714
10.970777923815177        -2.409035071990397       -4.452934742975003
10.941555847630353        -2.4090443884229624      -4.454136170511205
10.912333771445528        -2.4090537048555287      -4.454008066470529
